id,title,category,time,text,posts
101872338,Senseisystem Ladder Iso,ISO,Sep 28 2023 03:12pm,15ed/15dura/4os/65ed/121ar knights mod sacred targeOnly perfIso other perfs for vtpkHit itThis post was edited by senseisystem1587 on Oct 5 2023 12:25am,"[{'time': 'Sep 28 2023 03:12pm', 'text': '15ed/15dura/4os/65ed/121ar knights mod sacred targeOnly perfIso other perfs for vtpkHit itThis post was edited by senseisystem1587 on Oct 5 2023 12:25am', 'author': 'senseisystem1587'}, {'time': 'Sep 28 2023 03:16pm', 'text': 'got it', 'author': 'unt0uch'}, {'time': 'Sep 30 2023 04:14pm', 'text': 'Bump', 'author': 'senseisystem1587'}, {'time': 'Oct 1 2023 08:15pm', 'text': 'Bump', 'author': 'senseisystem1587'}, {'time': 'Oct 2 2023 10:58pm', 'text': 'Bump', 'author': 'senseisystem1587'}, {'time': 'Oct 3 2023 06:13am', 'text': 'Bump', 'author': 'senseisystem1587'}, {'time': 'Oct 3 2023 08:15pm', 'text': 'Bump', 'author': 'senseisystem1587'}, {'time': 'Oct 5 2023 12:25am', 'text': 'Bump', 'author': 'senseisystem1587'}]"
101872507,Arctic Furs Armor,FT,Sep 28 2023 03:43pm,Post offer,"[{'time': 'Sep 28 2023 03:43pm', 'text': 'Post offer', 'author': 'GingaNinja90'}, {'time': 'Sep 30 2023 06:33pm', 'text': '1fg', 'author': 'Nessiatko'}]"
101872516,Summon Druid Pelt With Grizzly & Dire Wolves,ISO,Sep 28 2023 03:45pm,"I'm looking for a truly GG magic pelt for Summon Druid with the following MINIMUM stats:+3 Summoning Skills+2-3 Grizzly+2-3 Dire WolvesUseful extra stats:2os, HoW, Cyclone Armor, Life, EnergySecond affix is not needed but the pelt must be better (more skills or 2os) than this:A ""wolf"" or ""antlers"" style pelt is prefered but not required.    Show me what you got.","[{'time': 'Sep 28 2023 03:45pm', 'text': 'I\'m looking for a truly GG magic pelt for Summon Druid with the following MINIMUM stats:+3 Summoning Skills+2-3 Grizzly+2-3 Dire WolvesUseful extra stats:2os, HoW, Cyclone Armor, Life, EnergySecond affix is not needed but the pelt must be better (more skills or 2os) than this:A ""wolf"" or ""antlers"" style pelt is prefered but not required.    Show me what you got.', 'author': 'tmGrunty'}, {'time': 'Sep 29 2023 08:04am', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Sep 29 2023 12:35pm', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Sep 30 2023 06:26am', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Sep 30 2023 12:03pm', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Sep 30 2023 02:12pm', 'text': 'Are you interested in this as a temp? Green antlers', 'author': 'OPoneKenobi'}, {'time': 'Oct 1 2023 07:42am', 'text': 'Quote (OPoneKenobi @ 30 Sep 2023 22:12)https://i.imgur.com/D0B8bEr.pngAre you interested in this as a temp? Green antlershave you even seen my current ""temp"" ?', 'author': 'tmGrunty'}, {'time': 'Oct 1 2023 01:38pm', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Oct 2 2023 06:56am', 'text': 'Bump', 'author': 'tmGrunty'}, {'time': 'Oct 2 2023 03:37pm', 'text': 'Bump', 'author': 'tmGrunty'}]"
101872855,3os Bp,FT,Sep 28 2023 04:34pm,iso offerX,"[{'time': 'Sep 28 2023 04:34pm', 'text': 'iso offerX', 'author': 'ekon'}, {'time': 'Oct 1 2023 10:30pm', 'text': 'sorry! didnt see the FT.This post was edited by lovekillah22 on Oct 1 2023 10:31pm', 'author': 'lovekillah22'}]"
101872977,Ft Angelic Halo Ring,FT,Sep 28 2023 04:56pm,20 life6repllvl12x2 10fg/eaThis post was edited by vvzz on Sep 30 2023 05:01am,"[{'time': 'Sep 28 2023 04:56pm', 'text': '20 life6repllvl12x2 10fg/eaThis post was edited by vvzz on Sep 30 2023 05:01am', 'author': 'vvzz'}, {'time': 'Sep 28 2023 04:57pm', 'text': '10', 'author': 'SexyLumberjack'}, {'time': 'Sep 30 2023 05:01am', 'text': 'Bump', 'author': 'vvzz'}]"
101873011,Fcr Cold Res Mana Ring,FT,Sep 28 2023 05:01pm,,"[{'time': 'Sep 28 2023 05:01pm', 'text': '', 'author': 'LoupSeul'}, {'time': 'Sep 30 2023 12:47pm', 'text': '30Fg', 'author': 'mxc_god'}, {'time': 'Sep 30 2023 04:25pm', 'text': '90 fg', 'author': 'Sky1in3'}, {'time': 'Sep 30 2023 04:26pm', 'text': '95', 'author': 'vargla'}, {'time': 'Sep 30 2023 04:31pm', 'text': '115', 'author': 'Sky1in3'}]"
101873074,Arctic Furs 10@ - 10fg,FT,Sep 28 2023 05:10pm,Get it in EU!,"[{'time': 'Sep 28 2023 05:10pm', 'text': 'Get it in EU!', 'author': 'WD-Hydralisc'}, {'time': 'Sep 30 2023 06:34pm', 'text': '1fg here', 'author': 'Nessiatko'}]"
101873195,15 15 Ed Bp 3os,FT,Sep 28 2023 05:28pm,"offering an 15 enhanced defense / 15 durability Breastplate with 3 open socketshave fun 3 os, enigma, eni, armor, armour, treachery","[{'time': 'Sep 28 2023 05:28pm', 'text': 'offering an 15 enhanced defense / 15 durability Breastplate with 3 open socketshave fun 3 os, enigma, eni, armor, armour, treachery', 'author': '70Mbit_error'}, {'time': 'Sep 29 2023 03:04pm', 'text': 'Bump', 'author': '70Mbit_error'}, {'time': 'Sep 29 2023 10:00pm', 'text': 'Bump', 'author': '70Mbit_error'}, {'time': 'Sep 30 2023 02:41am', 'text': 'Bump', 'author': '70Mbit_error'}, {'time': 'Sep 30 2023 02:47pm', 'text': '100', 'author': 'Volksheld'}, {'time': 'Oct 1 2023 09:07am', 'text': 'Bump', 'author': '70Mbit_error'}, {'time': 'Oct 1 2023 02:48pm', 'text': 'Bump', 'author': '70Mbit_error'}]"
101873212,Gg Pala Circlet (2/20/20/allres/gold),FT,Sep 28 2023 05:30pm,lf offers,"[{'time': 'Sep 28 2023 05:30pm', 'text': 'lf offers', 'author': 'subaridji'}, {'time': 'Sep 28 2023 06:07pm', 'text': '100 ', 'author': 'cycoconutz'}, {'time': 'Sep 28 2023 06:07pm', 'text': 'Quote (cycoconutz @ 29 Sep 2023 03:07)100ty for the start', 'author': 'subaridji'}, {'time': 'Sep 29 2023 07:06am', 'text': 'meh  wrong text This post was edited by 70Mbit_error on Sep 29 2023 07:06am', 'author': '70Mbit_error'}, {'time': 'Sep 29 2023 01:53pm', 'text': 'Bump', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:21am', 'text': 'Bump', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:22am', 'text': 'you ever sell?', 'author': 'bingusmaneuver314'}, {'time': 'Sep 30 2023 05:23am', 'text': 'Quote (bingusmaneuver314 @ 30 Sep 2023 14:22)you ever sell?clarify your request pls', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:39am', 'text': 'Quote (subaridji @ Sep 30 2023 07:23am)clarify your request plsdidd u ever sell the circlet or settle otherwise my badd', 'author': 'bingusmaneuver314'}, {'time': 'Sep 30 2023 05:42am', 'text': 'Quote (bingusmaneuver314 @ 30 Sep 2023 14:39)didd u ever sell the circlet or settle otherwise my baddi believe that english is not your native language and you had poor success in studying it. thnx for free bump anyway.', 'author': 'subaridji'}]"
101873320,Artisans 3soc Allres Heraldic Shield,FT,Sep 28 2023 05:42pm,lf offers,"[{'time': 'Sep 28 2023 05:42pm', 'text': 'lf offers', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:22am', 'text': 'Bump', 'author': 'subaridji'}]"
101873345,Amazon Lev 44 Jav Price Check,Price Check,Sep 28 2023 05:45pm,Worth anything?,"[{'time': 'Sep 28 2023 05:45pm', 'text': 'Worth anything?', 'author': 'seminole20'}, {'time': 'Sep 28 2023 05:45pm', 'text': 'This is surely a troll? If not grata bro', 'author': 'aust261'}, {'time': 'Sep 28 2023 05:46pm', 'text': '50', 'author': 'Toggle'}, {'time': 'Sep 28 2023 05:53pm', 'text': 'wtb your vipermagi', 'author': 'hayasi'}, {'time': 'Sep 28 2023 05:54pm', 'text': 'Quote (hayasi @ Sep 29 2023 01:53am)wtb your vipermagisame you can charsi this ', 'author': 'devodevo'}, {'time': 'Sep 28 2023 06:00pm', 'text': 'Quote (aust261 @ Sep 28 2023 07:45pm)This is surely a troll? If not grata broNever know, itâ€™s beginning of season. Def not a troll. ', 'author': 'seminole20'}, {'time': 'Sep 28 2023 06:02pm', 'text': 'Quote (hayasi @ Sep 28 2023 07:53pm)wtb your vipermagiHow much?', 'author': 'seminole20'}, {'time': 'Sep 28 2023 06:20pm', 'text': 'Lmk how much you want for the javs', 'author': 'aust261'}, {'time': 'Oct 3 2023 02:13pm', 'text': 'Bump', 'author': 'seminole20'}]"
101873376,Arctic Fur Armor,FT,Sep 28 2023 05:48pm,Post offers,"[{'time': 'Sep 28 2023 05:48pm', 'text': 'Post offers', 'author': 'Draculia'}, {'time': 'Sep 30 2023 06:21pm', 'text': '1fg', 'author': 'Nessiatko'}]"
101873526,Bonesnap Maul,FT,Sep 28 2023 06:06pm,259 ed,"[{'time': 'Sep 28 2023 06:06pm', 'text': '259 ed', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:22am', 'text': 'Bump', 'author': 'subaridji'}]"
101873554,My Ladder Shop,FT,Sep 28 2023 06:08pm,closeThis post was edited by Shakrana on Sep 30 2023 05:42pm,"[{'time': 'Sep 28 2023 06:08pm', 'text': 'closeThis post was edited by Shakrana on Sep 30 2023 05:42pm', 'author': 'Shakrana'}, {'time': 'Sep 28 2023 11:52pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:54am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 03:52pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:00pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:01pm', 'text': '40 on titans ', 'author': 'BAMt'}, {'time': 'Sep 30 2023 12:37am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 30 2023 10:35am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 30 2023 03:08pm', 'text': 'Bump', 'author': 'Shakrana'}]"
101873611,~ Find Me This In Normal Cows ~,ISO,Sep 28 2023 06:14pm,These 3 items are very rare and very sought after.They can ONLY be found in normal cows to have the correct sockets/skills.Item #1 (I am paying 3k fg for this)Wolf head OR Hawk Helm WITH: (must be level 9 required or less)+3 to werebear (3os ONLY) will pay more if it also has oakItem #2 (viperlld will negotiate a price with you for this)War Scepter (level 9 required or less) with:+3 to defiance (5os only)Item #3 (bonus for you as this sells for 1500+ fg)+3 to oak sage pelt (0os or 3os)This post was edited by starcreaft453 on Sep 30 2023 07:48am,"[{'time': 'Sep 28 2023 06:14pm', 'text': 'These 3 items are very rare and very sought after.They can ONLY be found in normal cows to have the correct sockets/skills.Item #1 (I am paying 3k fg for this)Wolf head OR Hawk Helm WITH: (must be level 9 required or less)+3 to werebear (3os ONLY) will pay more if it also has oakItem #2 (viperlld will negotiate a price with you for this)War Scepter (level 9 required or less) with:+3 to defiance (5os only)Item #3 (bonus for you as this sells for 1500+ fg)+3 to oak sage pelt (0os or 3os)This post was edited by starcreaft453 on Sep 30 2023 07:48am', 'author': 'starcreaft453'}, {'time': 'Sep 28 2023 07:23pm', 'text': ""Come on guys let's find us these items this season!"", 'author': 'ViperLLD'}, {'time': 'Sep 30 2023 07:47am', 'text': 'Bump', 'author': 'starcreaft453'}, {'time': 'Sep 30 2023 07:48am', 'text': 'Do have 3wb from somewhere in act3, but i guess thats not gonna work?', 'author': 'Nismo_Frank'}, {'time': 'Sep 30 2023 07:48am', 'text': 'Quote (Nismo_Frank @ Sep 30 2023 07:48am)Do have 3wb from somewhere in act3, but i guess thats not gonna work?Would need to be chaos sanctuary and depend on the mob so no. But feel free to socket lolThis post was edited by starcreaft453 on Sep 30 2023 07:49am', 'author': 'starcreaft453'}, {'time': 'Sep 30 2023 07:50am', 'text': 'Quote (starcreaft453 @ 30 Sep 2023 15:48)Would need to be chaos samctuaryWell thats a shame! Gl on searchHaha tried it just to be sure! Got 2 sockets indeed This post was edited by Nismo_Frank on Sep 30 2023 07:51am', 'author': 'Nismo_Frank'}, {'time': 'Sep 30 2023 07:52am', 'text': 'Quote (Nismo_Frank @ 30 Sep 2023 15:50)Well thats a shame! Gl on searchHaha tried it just to be sure! Got 2 sockets indeed :(And today dear kids we learn about what ilvls are.', 'author': 'Nigzel'}, {'time': 'Oct 2 2023 12:42pm', 'text': 'Bump', 'author': 'starcreaft453'}, {'time': 'Oct 5 2023 10:12am', 'text': 'Bump', 'author': 'starcreaft453'}]"
101873613,Rare Dual Res Mf Boots,FT,Sep 28 2023 06:14pm,offer,"[{'time': 'Sep 28 2023 06:14pm', 'text': 'offer', 'author': 'Auger'}, {'time': 'Sep 28 2023 08:55pm', 'text': 'Bump', 'author': 'Auger'}, {'time': 'Oct 1 2023 09:36am', 'text': '150', 'author': 'Sky1in3'}]"
