id,title,category,time,text,posts
101873718,Iso: 5000x Full Tal Sets + Spirit Monarch,ISO,Sep 28 2023 06:27pm,"Looking to buy bulk onlyEdit: 3k sets sorted, need 2k moreThis post was edited by TheGodOfPumpkin on Sep 28 2023 10:17pm","[{'time': 'Sep 28 2023 06:27pm', 'text': 'Looking to buy bulk onlyEdit: 3k sets sorted, need 2k moreThis post was edited by TheGodOfPumpkin on Sep 28 2023 10:17pm', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:28pm', 'text': '   ', 'author': 'Gluurbuur'}, {'time': 'Sep 28 2023 06:34pm', 'text': 'Quote (Gluurbuur @ Sep 29 2023 01:28pm):rofl:  :bonk:how many do you have? maybe we can make a deal on a smaller amount', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:35pm', 'text': ""All Hail The Great Pumpkin! G'luck in your search."", 'author': 'Handcuffs'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'What do you need 5000 Tal sets for? ^^', 'author': 'Annibaddi'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'Quote (Annibaddi @ Sep 29 2023 01:38pm)What do you need 5000 Tal sets for? ^^i like to keep spares just in case i make new characters', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'Understandable understandableQuote (TheGodOfPumpkin @ Sep 28 2023 05:38pm)i like to keep spares just in case i make new characters', 'author': 'Kal_Imp'}, {'time': 'Sep 28 2023 06:39pm', 'text': 'all herepm', 'author': 'hypeshako'}, {'time': 'Sep 28 2023 10:18pm', 'text': 'Quote (hypeshako @ Sep 29 2023 01:39pm)all herepmnever responded, still need 2k more', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 10:19pm', 'text': '  This post was edited by der_lustige_lol on Sep 28 2023 10:19pm', 'author': 'der_lustige_lol'}]"
101873759,O Arctic Set Armor,FT,Sep 28 2023 06:32pm,O Arctic set armor,"[{'time': 'Sep 28 2023 06:32pm', 'text': 'O Arctic set armor', 'author': 'Eldo2'}, {'time': 'Sep 30 2023 02:40pm', 'text': 'Bump', 'author': 'Eldo2'}, {'time': 'Sep 30 2023 06:33pm', 'text': '1fg', 'author': 'Nessiatko'}]"
101873773,Iso Druid Summoning Gc's,ISO,Sep 28 2023 06:33pm,lmk ,"[{'time': 'Sep 28 2023 06:33pm', 'text': 'lmk ', 'author': 'TerpTrain'}, {'time': 'Oct 2 2023 08:12pm', 'text': '1 here - 30fg', 'author': 'HARDSKiLLED'}, {'time': 'Oct 2 2023 08:16pm', 'text': '1 here 20fg', 'author': 'd2rdubs'}]"
101873819,Socket Quests By Adnileon,Service,Sep 28 2023 06:39pm,  This post was edited by Adnileon on Sep 30 2023 02:05am,"[{'time': 'Sep 28 2023 06:39pm', 'text': '  This post was edited by Adnileon on Sep 30 2023 02:05am', 'author': 'Adnileon'}, {'time': 'Sep 29 2023 12:52am', 'text': 'Bump', 'author': 'Adnileon'}, {'time': 'Sep 29 2023 05:30am', 'text': 'Bump', 'author': 'Adnileon'}, {'time': 'Sep 30 2023 01:06am', 'text': 'Bump', 'author': 'Adnileon'}]"
101873933,Claw 2sk 40ias,FT,Sep 28 2023 06:52pm,make offer,"[{'time': 'Sep 28 2023 06:52pm', 'text': 'make offer', 'author': 'Racknar'}, {'time': 'Sep 29 2023 05:07am', 'text': 'Bump', 'author': 'Racknar'}, {'time': 'Sep 29 2023 02:19pm', 'text': 'Bump', 'author': 'Racknar'}, {'time': 'Sep 29 2023 08:18pm', 'text': 'Bump', 'author': 'Racknar'}, {'time': 'Sep 30 2023 05:57pm', 'text': 'Bump', 'author': 'Racknar'}]"
101874030,N Spectral Shard,ISO,Sep 28 2023 07:01pm,lemme know if u found one xD,"[{'time': 'Sep 28 2023 07:01pm', 'text': 'lemme know if u found one xD', 'author': 'RageAgainstTheMachine'}, {'time': 'Sep 28 2023 08:30pm', 'text': 'i found one xd', 'author': 'trevbolt1'}, {'time': 'Sep 28 2023 11:48pm', 'text': 'Quote (trevbolt1 @ Sep 28 2023 09:30pm)i found one xdWill bin 10fg', 'author': 'ezmac'}, {'time': 'Sep 29 2023 10:38am', 'text': 'Bump', 'author': 'RageAgainstTheMachine'}, {'time': 'Sep 29 2023 10:38am', 'text': '75', 'author': 'Quail'}, {'time': 'Sep 29 2023 10:41am', 'text': '50', 'author': 'csyoyo'}, {'time': 'Oct 1 2023 07:56am', 'text': '40', 'author': 'FilterHeadz'}]"
101874085,O Ring: 10%fcr 94 Ar 8 Energy 5 Repl Life 30 Lres,FT,Sep 28 2023 07:07pm,O Ring Level 16 requ:10% fcr94 ar8 energy5 replenish life30 light resThis post was edited by MountainLake on Sep 28 2023 07:08pm,"[{'time': 'Sep 28 2023 07:07pm', 'text': 'O Ring Level 16 requ:10% fcr94 ar8 energy5 replenish life30 light resThis post was edited by MountainLake on Sep 28 2023 07:08pm', 'author': 'MountainLake'}, {'time': 'Sep 28 2023 11:54pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Sep 29 2023 07:01am', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Sep 29 2023 05:26pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Sep 30 2023 03:35pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 07:32am', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 12:37pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 05:00pm', 'text': 'Bump', 'author': 'MountainLake'}]"
101874105,Iso Pally Shield 3os,ISO,Sep 28 2023 07:09pm,Iso Paladin Shield with 3os or 2osThis post was edited by satandance on Sep 28 2023 07:14pm,"[{'time': 'Sep 28 2023 07:09pm', 'text': 'Iso Paladin Shield with 3os or 2osThis post was edited by satandance on Sep 28 2023 07:14pm', 'author': 'satandance'}, {'time': 'Sep 28 2023 07:15pm', 'text': 'RetThis post was edited by kubo2021 on Sep 28 2023 07:17pm', 'author': 'kubo2021'}, {'time': 'Sep 28 2023 09:57pm', 'text': '3os targe14 ed8 all res', 'author': 'MonkeyBizz13'}, {'time': 'Sep 30 2023 03:23am', 'text': '3os Vortex Shield 44@', 'author': 'Treat'}, {'time': 'Sep 30 2023 03:24am', 'text': 'Sacred targe 3os 26@But i wi be hhome in like 3h', 'author': 'Norotian'}]"
101874117,Low Runes,FT,Sep 28 2023 07:11pm,Io - 5 fgDol - 5 fgThul - 5 fgRal - 5 fgTal - 5 fg x8Ith - 5 fg x2Eth - 5 fgNef - 5 fgEl - 5 fgThis post was edited by scene08 on Sep 30 2023 06:18am,"[{'time': 'Sep 28 2023 07:11pm', 'text': 'Io - 5 fgDol - 5 fgThul - 5 fgRal - 5 fgTal - 5 fg x8Ith - 5 fg x2Eth - 5 fgNef - 5 fgEl - 5 fgThis post was edited by scene08 on Sep 30 2023 06:18am', 'author': 'scene08'}, {'time': 'Sep 28 2023 07:12pm', 'text': 'Tir - 10 fg', 'author': 'Lusius'}, {'time': 'Sep 28 2023 10:45pm', 'text': 'Quote (Lusius @ Sep 29 2023 09:12am)Tir - 10 fgt4t', 'author': 'scene08'}, {'time': 'Sep 29 2023 02:46am', 'text': 'Bump', 'author': 'scene08'}, {'time': 'Sep 29 2023 02:46am', 'text': 'thul hgere', 'author': 'Atakov'}, {'time': 'Sep 29 2023 08:55pm', 'text': 'Bump', 'author': 'scene08'}, {'time': 'Sep 29 2023 08:56pm', 'text': 'bin all sol', 'author': 'kittykai89'}, {'time': 'Sep 29 2023 08:58pm', 'text': 'Bin 2 hel 2 amn', 'author': 'Tortillaboy'}, {'time': 'Sep 30 2023 01:23am', 'text': 'Bump', 'author': 'scene08'}, {'time': 'Sep 30 2023 06:18am', 'text': 'Bump', 'author': 'scene08'}]"
101874180,Ft 10% Gf Small Charm,FT,Sep 28 2023 07:17pm,,"[{'time': 'Sep 28 2023 07:17pm', 'text': '', 'author': 'pluppzynical'}, {'time': 'Sep 29 2023 07:56pm', 'text': 'Bump', 'author': 'pluppzynical'}, {'time': 'Sep 30 2023 04:49pm', 'text': 'Bump', 'author': 'pluppzynical'}, {'time': 'Oct 1 2023 08:10pm', 'text': 'Bump', 'author': 'pluppzynical'}, {'time': 'Oct 2 2023 07:45pm', 'text': 'Bump', 'author': 'pluppzynical'}, {'time': 'Oct 3 2023 03:55pm', 'text': 'Bump', 'author': 'pluppzynical'}, {'time': 'Oct 4 2023 06:43pm', 'text': 'Bump', 'author': 'pluppzynical'}]"
101874262,Socket Q,Service,Sep 28 2023 07:24pm,closedThis post was edited by imbadurnot on Oct 1 2023 06:34am,"[{'time': 'Sep 28 2023 07:24pm', 'text': 'closedThis post was edited by imbadurnot on Oct 1 2023 06:34am', 'author': 'imbadurnot'}, {'time': 'Sep 29 2023 07:45pm', 'text': 'Bump', 'author': 'imbadurnot'}, {'time': 'Sep 30 2023 09:20am', 'text': 'Bump', 'author': 'imbadurnot'}, {'time': 'Sep 30 2023 02:55pm', 'text': 'Bump', 'author': 'imbadurnot'}, {'time': 'Oct 1 2023 06:26am', 'text': 'Bump', 'author': 'imbadurnot'}, {'time': 'Oct 1 2023 06:28am', 'text': 'BIN 2', 'author': 'nts1412'}]"
101874414,Little List,FT,Sep 28 2023 07:40pm,2combat pally ammy--offer1 ele druid ammy--offer10fcr ring lvl 6   5fg,"[{'time': 'Sep 28 2023 07:40pm', 'text': '2combat pally ammy--offer1 ele druid ammy--offer10fcr ring lvl 6   5fg', 'author': 'Tainted89'}, {'time': 'Sep 28 2023 07:59pm', 'text': 'and bloodthief brandistock', 'author': 'Tainted89'}, {'time': 'Sep 28 2023 09:11pm', 'text': 'bloodletter unid', 'author': 'Tainted89'}, {'time': 'Sep 30 2023 01:13pm', 'text': 'bin at the ring.', 'author': 'sephSC'}]"
101874423,Blood Crescent Scimitar,FT,Sep 28 2023 07:41pm,50fg! low lvl weapon nice one50fgbin,"[{'time': 'Sep 28 2023 07:41pm', 'text': '50fg! low lvl weapon nice one50fgbin', 'author': 'd2heravi'}, {'time': 'Sep 29 2023 04:44pm', 'text': 'Ed?', 'author': 'zShada'}, {'time': 'Oct 2 2023 11:32am', 'text': 'bin', 'author': 'Romachi'}, {'time': 'Oct 2 2023 11:39am', 'text': 'Quote (d2heravi @ Sep 28 2023 08:41pm)50fg! low lvl weapon nice one50fgbinsold ', 'author': 'd2heravi'}]"
101874602,10eg 7cr,FT,Sep 28 2023 07:55pm,Yap M shapeThis post was edited by falik on Sep 29 2023 05:31am,"[{'time': 'Sep 28 2023 07:55pm', 'text': 'Yap M shapeThis post was edited by falik on Sep 29 2023 05:31am', 'author': 'falik'}, {'time': 'Sep 29 2023 05:32am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Sep 29 2023 10:43am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Sep 29 2023 03:21pm', 'text': 'Bump', 'author': 'falik'}, {'time': 'Sep 30 2023 05:00am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Oct 4 2023 03:56pm', 'text': 'Bump', 'author': 'falik'}, {'time': 'Oct 5 2023 05:22am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Oct 5 2023 10:10am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Oct 6 2023 11:24am', 'text': 'Bump', 'author': 'falik'}, {'time': 'Oct 6 2023 04:15pm', 'text': 'Bump', 'author': 'falik'}]"
101874669,Bloodrise Lvl 15 Morning Star 3 Sacrifice,FT,Sep 28 2023 08:01pm,bin 10 fg,"[{'time': 'Sep 28 2023 08:01pm', 'text': 'bin 10 fg', 'author': 'chris8899'}, {'time': 'Oct 5 2023 07:20am', 'text': '5fg', 'author': 'DiabloTinder'}]"
101874693,Perfect Skin Of The Vipermagi,FT,Sep 28 2023 08:03pm,35 all res 13 mr,"[{'time': 'Sep 28 2023 08:03pm', 'text': '35 all res 13 mr', 'author': 'ki11erpanda'}, {'time': 'Sep 28 2023 08:04pm', 'text': '1000', 'author': 'GlitchedToon'}, {'time': 'Sep 28 2023 08:04pm', 'text': '1250', 'author': 'Jeezy101'}, {'time': 'Sep 28 2023 08:05pm', 'text': '1500', 'author': 'GlitchedToon'}, {'time': 'Sep 29 2023 12:15am', 'text': 'Bump', 'author': 'ki11erpanda'}, {'time': 'Sep 29 2023 04:57am', 'text': 'Bump', 'author': 'ki11erpanda'}, {'time': 'Sep 29 2023 04:58am', 'text': '1600', 'author': 'LORD_BEAST'}, {'time': 'Sep 29 2023 10:36am', 'text': 'Bump', 'author': 'ki11erpanda'}, {'time': 'Sep 29 2023 04:41pm', 'text': 'Bump', 'author': 'ki11erpanda'}, {'time': 'Sep 29 2023 06:12pm', 'text': 'non ladder going for 2-6 jah bring the price up boys', 'author': 'ki11erpanda'}]"
101874904,O Ring 10%fcr 48 Ar 10 Lres 22 Fres 2 Mdr,FT,Sep 28 2023 08:22pm,O Ring Level 24 requ:10% fcr48 ar10 Light res22 fire res2 magic dam red,"[{'time': 'Sep 28 2023 08:22pm', 'text': 'O Ring Level 24 requ:10% fcr48 ar10 Light res22 fire res2 magic dam red', 'author': 'MountainLake'}, {'time': 'Sep 29 2023 07:46am', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Sep 30 2023 03:01am', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Sep 30 2023 03:16pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 07:28am', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 12:50pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 1 2023 05:15pm', 'text': 'Bump', 'author': 'MountainLake'}, {'time': 'Oct 2 2023 04:45pm', 'text': 'Bump', 'author': 'MountainLake'}]"
101874978,16 Life 10 Cr Sc,FT,Sep 28 2023 08:29pm,Offers ? ,"[{'time': 'Sep 28 2023 08:29pm', 'text': 'Offers ? ', 'author': 'B_ankai'}, {'time': 'Sep 29 2023 01:40am', 'text': 'Bump', 'author': 'B_ankai'}, {'time': 'Sep 29 2023 05:44am', 'text': 'Bump', 'author': 'B_ankai'}, {'time': 'Sep 29 2023 11:04am', 'text': 'Bump', 'author': 'B_ankai'}, {'time': 'Sep 30 2023 03:16pm', 'text': 'Bump', 'author': 'B_ankai'}, {'time': 'Oct 1 2023 04:03am', 'text': 'Bin - 75 fg', 'author': 'B_ankai'}, {'time': 'Oct 1 2023 10:24am', 'text': 'Bump', 'author': 'B_ankai'}]"
101875119,5res Sc Fire Skiller,FT,Sep 28 2023 08:43pm,5 res paw1 fire skill 7frw gc dna,"[{'time': 'Sep 28 2023 08:43pm', 'text': '5 res paw1 fire skill 7frw gc dna', 'author': 'ezwasnp'}, {'time': 'Sep 29 2023 07:22pm', 'text': 'bin fire for 120 fg', 'author': 'Marko0o'}, {'time': 'Oct 3 2023 04:06pm', 'text': '80 for 5res sc', 'author': 'Malaysian'}, {'time': 'Oct 3 2023 04:07pm', 'text': '100 @ 5res sc', 'author': 'ZoDGoD'}]"
